index,x,y,z,qx,qy,qz,qw
80,720.840093,365.617226,-49.633404,0.000000,0.000000,0.837708,0.546118
81,724.932499,345.284401,-55.512482,-0.000684,-0.001055,0.838903,0.544279
82,727.847415,325.274635,-63.253712,-0.000000,0.000000,0.722927,0.690924
83,728.200380,305.261635,-72.200821,-0.000000,0.000000,0.704167,0.710035
84,726.961121,286.300697,-81.607391,0.000160,0.000158,0.704510,0.709694
85,725.016601,267.668312,-91.066193,0.000004,0.000004,0.704599,0.709606
86,723.007993,247.765038,-100.746292,0.000684,-0.000705,0.699171,0.714954
87,720.262265,228.789696,-109.102486,0.000003,-0.000003,0.606092,0.795394
88,715.179195,209.483605,-116.180824,-0.000000,0.000000,0.605124,0.796131
89,709.737360,189.806405,-120.421860,0.000000,0.000000,0.605276,0.796016
90,703.274346,169.080698,-124.316322,0.000000,0.000000,0.605181,0.796088
91,697.041984,148.960123,-126.875282,0.000105,0.000091,0.657989,0.753027
92,696.765373,148.997141,-127.253754,0.000027,0.000033,0.657986,0.753030
93,691.027151,127.823611,-129.541336,-0.000007,-0.000006,0.658471,0.752606
94,686.735890,106.778628,-131.298340,-0.000000,0.000000,0.694712,0.719288
95,684.273182,86.285655,-133.697357,0.000000,-0.000000,0.787390,0.616455
96,687.356310,64.602038,-134.466248,0.000337,0.000590,0.788186,0.615437
97,693.156053,42.999895,-134.184250,-0.000165,0.000130,0.785587,0.618751
98,699.016342,23.150196,-134.302719,-0.001596,0.001259,0.785076,0.619396
99,703.865889,1.423756,-134.292419,-0.000039,0.000038,0.707307,0.706906
100,707.389875,-18.162669,-134.560730,0.000000,0.000000,0.708835,0.705374
101,708.481061,-25.853509,-134.018826,-0.000001,-0.000000,0.584292,0.811543
102,704.131145,-45.516772,-134.041351,0.000000,0.000000,0.592665,0.805449
